gid,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,n_counterparties,first_date,last_date,active_days,pass_through,truncated_by_depth,real_sink,no_edges,pagerank,betweenness,component,component_size,in_cycle,same_day_bursts,avg_in_tx,avg_out_tx,seed_money_in,seed_share,cluster_id,n_seed_upstream,fast_out_share,sync_in_events,max_payer_share,no_data,nearest_role,role_rule
100000008686313100,1,false,6,7,1912716.0,333800.0,16,13,10,2026-07-09,2026-07-31,20,0.1745,false,false,false,0.00046763,0.00198483,0,1877,true,0,119544.75,25676.92,233150.3,0.1219,0,3,1.0,0,0.5777,false,coordinator,coordinator
100000003115284100,1,false,8,2,2160500.0,517000.0,15,4,9,2026-07-01,2026-07-19,6,0.2393,false,false,false,0.00152864,0.0001278,0,1877,true,4,144033.33,129250.0,849633.55,0.3933,9,9,0.9865,1,0.2879,false,consolidator,consolidator
100000004403675100,1,false,4,5,182980.0,264699.0,8,6,8,2026-07-01,2026-07-20,8,1.4466,false,false,false,0.00074007,0.00278767,0,1877,true,3,22872.5,44116.5,93552.75,0.3534,20,3,0.5402,0,0.3498,false,coordinator,coordinator
100000004015047100,1,false,9,1,919104.0,69195.0,18,7,9,2026-07-01,2026-07-23,14,0.0753,false,false,false,0.0022786,2.289e-05,0,1877,true,5,51061.33,9885.0,585259.71,0.6368,6,8,0.6363,0,0.2877,false,consolidator,consolidator
100000003071930100,1,false,3,1,477610.0,5000.0,4,1,4,2026-07-22,2026-07-30,5,0.0105,false,false,false,0.00034837,4.28e-05,0,1877,false,0,119402.5,5000.0,228378.24,0.4782,7,5,1.0,0,0.4766,false,consolidator,consolidator
100000003684369100,0,true,24,62,3848436.0,8588655.0,58,67,85,2026-07-12,2026-07-28,16,2.2317,false,false,false,0.00202029,0.00230307,0,1877,true,13,66352.34,128188.88,500392.25,1.0,2,6,1.0,9,0.4113,false,coordinator,coordinator
100000003701161100,1,false,4,3,1527103.0,349000.0,13,7,5,2026-07-06,2026-07-31,14,0.2285,false,false,false,0.00164882,0.00021301,0,1877,true,2,117469.46,49857.14,269263.34,0.1763,22,3,1.0,0,0.5566,false,consolidator,consolidator
100000005514161100,1,false,4,1,401500.0,50000.0,7,1,5,2026-07-09,2026-07-31,5,0.1245,false,false,false,0.00080614,4.042e-05,0,1877,false,2,57357.14,50000.0,116168.88,0.2893,6,6,0.0,0,0.5666,false,consolidator,consolidator
100000004070318100,1,false,4,19,207246.55,551860.0,6,37,21,2026-07-01,2026-07-31,17,2.6628,false,false,false,0.00031412,0.00207327,0,1877,true,7,34541.09,14915.14,65291.96,0.1183,0,2,0.5406,0,0.4343,false,coordinator,coordinator
100000002838861100,1,false,5,1,554523.95,10000.0,5,1,5,2026-07-11,2026-07-22,5,0.018,false,false,false,0.00211992,1.942e-05,0,1877,true,0,110904.79,10000.0,403408.42,0.7275,7,4,0.0,0,0.5221,false,consolidator,consolidator
