src,dst,date,amount,channel
ext_dropcard_kaspi_01,c5_kassa_nurlan,2026-06-29,1840000,inter
ext_dropcard_kaspi_02,c5_kassa_nurlan,2026-07-01,2315500,inter
ext_dropcard_halyk_01,c5_kassa_nurlan,2026-07-03,1672000,inter
ext_dropcard_kaspi_01,c5_kassa_nurlan,2026-07-06,2980000,inter
ext_dropcard_freedom_01,c5_kassa_nurlan,2026-07-08,1455300,inter
ext_dropcard_freedom_02,c5_kassa_nurlan,2026-07-10,1695000,inter
ext_dropcard_halyk_01,c5_kassa_nurlan,2026-07-12,2640000,inter
ext_dropcard_kaspi_02,c5_kassa_nurlan,2026-07-14,1987650,inter
ext_dropcard_kaspi_03,c5_kassa_nurlan,2026-07-15,3120000,inter
ext_dropcard_kaspi_04,c5_kassa_nurlan,2026-07-17,2045500,inter
ext_dropcard_halyk_02,c5_kassa_nurlan,2026-07-19,2204000,inter
ext_dropcard_freedom_01,c5_kassa_nurlan,2026-07-21,1760500,inter
ext_dropcard_kaspi_01,c5_kassa_nurlan,2026-07-22,2455000,inter
ext_dropcard_kaspi_03,c5_kassa_nurlan,2026-07-26,2873400,inter
ext_dropcard_halyk_02,c5_kassa_nurlan,2026-07-28,1936000,inter
ext_dropcard_kaspi_02,c5_kassa_nurlan,2026-07-30,2512800,inter
ext_dropcard_halyk_01,c5_kassa_nurlan,2026-08-02,2190000,inter
ext_buyer_0412,c5_kassa_nurlan,2026-07-02,18000,intra
ext_buyer_0977,c5_kassa_nurlan,2026-07-05,32500,intra
ext_buyer_1203,c5_kassa_nurlan,2026-07-09,12000,inter
ext_buyer_0412,c5_kassa_nurlan,2026-07-13,25000,intra
ext_buyer_2281,c5_kassa_nurlan,2026-07-17,41000,intra
ext_buyer_0655,c5_kassa_nurlan,2026-07-20,9500,inter
ext_buyer_1874,c5_kassa_nurlan,2026-07-24,27000,intra
ext_buyer_0977,c5_kassa_nurlan,2026-07-27,35000,intra
ext_buyer_3302,c5_kassa_nurlan,2026-07-31,15500,inter
c5_kassa_nurlan,c5_buh_saule,2026-06-25,3380000,intra
c5_kassa_nurlan,hub_landlord_2,2026-07-01,230000,intra
c5_kassa_nurlan,c5_buh_saule,2026-07-02,4120000,intra
c5_kassa_nurlan,c5_boss_ermek,2026-07-05,1250000,intra
c5_kassa_nurlan,x_wholesaler,2026-07-07,2150000,intra
c5_kassa_nurlan,hub_taxi_park,2026-07-08,3200,intra
c5_kassa_nurlan,c5_buh_saule,2026-07-09,3870000,intra
c5_kassa_nurlan,hub_grocery_3,2026-07-10,7450,intra
c5_kassa_nurlan,x_p2p_trader_1,2026-07-11,1830000,intra
c5_kassa_nurlan,ext_kassa_sister_almaty,2026-07-12,150000,inter
c5_kassa_nurlan,hub_phone_shop,2026-07-14,189000,intra
c5_kassa_nurlan,c5_boss_ermek,2026-07-15,980000,intra
c5_kassa_nurlan,c5_buh_saule,2026-07-16,4450000,intra
c5_kassa_nurlan,hub_taxi_park,2026-07-17,2800,intra
c5_kassa_nurlan,x_wholesaler,2026-07-18,2600000,intra
c5_kassa_nurlan,c5_agency_kadry,2026-07-20,1150000,intra
c5_kassa_nurlan,hub_grocery_3,2026-07-21,12380,intra
c5_kassa_nurlan,c5_buh_saule,2026-07-23,3960000,intra
c5_kassa_nurlan,x_p2p_trader_1,2026-07-24,1120000,intra
c5_kassa_nurlan,c5_boss_ermek,2026-07-26,1640000,intra
c5_kassa_nurlan,x_wholesaler,2026-07-28,1980000,intra
c5_kassa_nurlan,c5_buh_saule,2026-07-29,4275000,intra
c5_kassa_nurlan,c5_buh_saule,2026-08-05,3915000,intra
c5_buh_saule,c5_agency_kadry,2026-06-26,3310000,intra
c5_buh_saule,c5_agency_kadry,2026-07-02,2500000,intra
c5_buh_saule,c5_agency_kadry,2026-07-03,1570000,intra
c5_buh_saule,hub_grocery_1,2026-07-05,14620,intra
c5_buh_saule,c5_agency_kadry,2026-07-10,3810000,intra
c5_buh_saule,ext_saule_mother_kokshetau,2026-07-12,40000,inter
c5_buh_saule,c5_agency_kadry,2026-07-16,2200000,intra
c5_buh_saule,c5_agency_kadry,2026-07-17,2180000,intra
c5_buh_saule,hub_pharmacy,2026-07-19,6350,intra
c5_buh_saule,c5_agency_kadry,2026-07-24,3890000,intra
c5_buh_saule,hub_beauty_salon,2026-07-25,18000,intra
c5_buh_saule,hub_grocery_1,2026-07-27,3940,intra
c5_buh_saule,c5_agency_kadry,2026-07-30,4190000,intra
c5_buh_saule,c5_agency_kadry,2026-08-06,3850000,intra
ext_client_tso_astana,c5_agency_kadry,2026-07-08,845000,inter
