src,dst,date,amount,channel
c6_seed_dana,c6_room_tomiris,2026-07-01,67500,intra
c6_seed_dana,hub_grocery_1,2026-07-01,3450,intra
ext_buyer_01,c6_seed_dana,2026-07-02,18000,intra
ext_buyer_02,c6_seed_dana,2026-07-03,12500,intra
ext_buyer_03,c6_seed_dana,2026-07-04,25000,inter
c6_seed_dana,hub_grocery_1,2026-07-04,2890,intra
ext_buyer_04,c6_seed_dana,2026-07-05,9000,intra
c6_seed_dana,hub_cafe_1,2026-07-05,1900,intra
c6_seed_dana,c6_tr_erlan,2026-07-06,61000,intra
c6_seed_dana,c6_dana_friend_saya,2026-07-08,10000,intra
c6_seed_dana,c6_cafe_dastarkhan,2026-07-08,14600,intra
ext_buyer_05,c6_seed_dana,2026-07-10,32000,intra
ext_buyer_06,c6_seed_dana,2026-07-11,15000,intra
ext_buyer_07,c6_seed_dana,2026-07-12,8500,inter
c6_seed_dana,c6_fam_ajee,2026-07-12,5000,intra
c6_seed_dana,hub_pharmacy,2026-07-13,4200,intra
c6_seed_dana,c6_tr_erlan,2026-07-14,52000,intra
c6_seed_dana,hub_beauty_salon,2026-07-16,7500,intra
c6_seed_dana,c6_fam_nursultan,2026-07-17,5000,intra
c6_seed_dana,hub_grocery_1,2026-07-18,5120,intra
ext_buyer_08,c6_seed_dana,2026-07-19,21000,intra
ext_buyer_09,c6_seed_dana,2026-07-20,17500,intra
c6_seed_dana,c6_tr_erlan,2026-07-22,36500,intra
c6_seed_dana,hub_cafe_2,2026-07-23,2600,intra
c6_seed_dana,ext_kaspi_shop_wb,2026-07-24,11990,inter
c6_seed_dana,c6_seed_madina,2026-07-26,3000,intra
c6_seed_dana,c6_room_tomiris,2026-07-30,8200,intra
c6_seed_dana,c6_room_tomiris,2026-08-01,67500,intra
c6_seed_dana,c6_tr_erlan,2026-08-03,28000,intra
c6_seed_dana,c6_room_tomiris,2026-06-01,67500,intra
ext_buyer_11,c6_seed_erbol,2026-07-02,24000,intra
ext_buyer_12,c6_seed_erbol,2026-07-02,11000,intra
c6_seed_erbol,c6_tr_erlan,2026-07-03,33500,intra
c6_seed_erbol,c6_erbol_bro_ansar,2026-07-05,7000,intra
c6_seed_erbol,hub_phone_shop,2026-07-06,4990,intra
