src,dst,date,amount,channel
ext_buyer_01,c3_klad_arman,2026-06-28,15000,inter
ext_buyer_02,c3_klad_arman,2026-06-29,12000,intra
ext_buyer_03,c3_klad_arman,2026-06-30,18000,inter
ext_buyer_04,c3_klad_arman,2026-07-01,25000,inter
ext_buyer_05,c3_klad_arman,2026-07-01,15500,inter
ext_buyer_06,c3_klad_arman,2026-07-06,20000,inter
ext_buyer_07,c3_klad_arman,2026-07-07,17000,intra
ext_buyer_01,c3_klad_arman,2026-07-13,30000,inter
ext_buyer_08,c3_klad_arman,2026-07-14,14000,inter
ext_buyer_09,c3_klad_arman,2026-07-20,22500,inter
ext_buyer_10,c3_klad_arman,2026-07-21,16000,inter
ext_buyer_04,c3_klad_arman,2026-07-27,25000,inter
ext_buyer_11,c3_klad_arman,2026-07-28,19000,inter
ext_buyer_12,c3_klad_madi,2026-06-30,13000,inter
ext_buyer_13,c3_klad_madi,2026-07-01,21000,inter
ext_buyer_14,c3_klad_madi,2026-07-08,15000,inter
ext_buyer_15,c3_klad_madi,2026-07-15,12500,intra
ext_buyer_16,c3_klad_madi,2026-07-22,18000,inter
ext_buyer_12,c3_klad_madi,2026-07-28,26000,inter
ext_buyer_17,c3_klad_erlan,2026-07-02,11000,inter
ext_buyer_18,c3_klad_erlan,2026-07-07,14500,inter
ext_buyer_19,c3_klad_erlan,2026-07-13,20000,inter
ext_buyer_20,c3_klad_erlan,2026-07-20,17500,intra
ext_buyer_21,c3_klad_erlan,2026-07-27,12000,inter
ext_opt_client_1,c3_kurier_timur,2026-06-30,95000,inter
ext_opt_client_2,c3_kurier_timur,2026-07-09,120000,inter
ext_opt_client_1,c3_kurier_timur,2026-07-16,110000,inter
ext_opt_client_3,c3_kurier_timur,2026-07-23,85000,inter
ext_opt_client_2,c3_kurier_timur,2026-07-29,130000,inter
ext_buyer_22,c3_klad_sanzhar,2026-06-30,9000,inter
ext_buyer_23,c3_klad_sanzhar,2026-07-09,14000,inter
ext_buyer_24,c3_klad_sanzhar,2026-07-13,10500,inter
ext_buyer_25,c3_klad_sanzhar,2026-07-21,16000,inter
ext_buyer_26,c3_klad_yerbol,2026-07-03,12000,inter
ext_buyer_27,c3_klad_yerbol,2026-07-08,17500,inter
ext_buyer_28,c3_klad_yerbol,2026-07-15,20000,intra
ext_buyer_29,c3_klad_yerbol,2026-07-22,13500,inter
ext_buyer_30,c3_klad_askar,2026-07-03,24000,inter
ext_buyer_31,c3_klad_askar,2026-07-10,19000,inter
ext_buyer_32,c3_klad_askar,2026-07-17,22000,inter
ext_buyer_33,c3_klad_askar,2026-07-24,27500,inter
ext_buyer_30,c3_klad_askar,2026-07-29,15000,inter
ext_buyer_34,c3_klad_aibek,2026-07-05,8000,inter
ext_buyer_35,c3_klad_aibek,2026-07-19,11000,inter
ext_buyer_36,c3_klad_nurlan,2026-07-11,9500,inter
ext_buyer_37,c3_klad_dauren,2026-07-18,7000,inter
c3_klad_arman,c3_drop_aruzhan,2026-06-29,84000,intra
c3_klad_arman,c3_drop_aruzhan,2026-07-02,96500,intra
c3_klad_madi,c3_drop_beka,2026-07-02,71200,intra
c3_klad_erlan,c3_drop_samat,2026-07-03,54000,intra
c3_kurier_timur,c3_drop_nazerke,2026-07-01,185000,intra
c3_klad_sanzhar,c3_drop_zhanna,2026-07-01,45000,intra
c3_klad_yerbol,c3_drop_zhanibek,2026-07-04,38500,intra
c3_klad_askar,c3_drop_dana,2026-07-04,62000,intra
c3_klad_askar,c3_drop_moldir,2026-07-07,23000,intra
c3_klad_arman,c3_drop_beka,2026-07-08,112400,intra
c3_klad_madi,c3_drop_aruzhan,2026-07-09,58600,intra
c3_klad_erlan,c3_drop_dana,2026-07-08,47300,intra
c3_kurier_timur,c3_drop_samat,2026-07-10,210000,intra
c3_klad_sanzhar,c3_drop_nazerke,2026-07-10,34700,intra
c3_klad_yerbol,c3_drop_zhanna,2026-07-09,29000,intra
c3_klad_askar,c3_drop_zhanibek,2026-07-11,51500,intra
c3_klad_arman,c3_drop_nazerke,2026-07-15,88700,intra
c3_klad_madi,c3_drop_samat,2026-07-16,66400,intra
c3_klad_erlan,c3_drop_zhanibek,2026-07-14,41800,intra
c3_kurier_timur,c3_drop_aruzhan,2026-07-17,240000,intra
c3_klad_sanzhar,c3_drop_beka,2026-07-14,27500,intra
c3_klad_yerbol,c3_drop_zhanna,2026-07-16,33000,intra
