src,dst,date,amount,channel
ext_buyer_01,c2_drop_dana,2026-07-01,18000,inter
ext_buyer_02,c2_drop_dana,2026-07-01,12500,intra
ext_buyer_03,c2_drop_dana,2026-07-02,25000,inter
ext_buyer_04,c2_drop_dana,2026-07-03,9000,inter
ext_buyer_01,c2_drop_dana,2026-07-04,18000,inter
ext_buyer_05,c2_drop_dana,2026-07-04,32000,inter
ext_buyer_06,c2_drop_dana,2026-07-05,15500,intra
ext_buyer_07,c2_drop_dana,2026-07-07,14000,inter
ext_buyer_03,c2_drop_dana,2026-07-08,25000,inter
ext_buyer_08,c2_drop_dana,2026-07-09,4500,inter
ext_buyer_09,c2_drop_dana,2026-07-10,22000,inter
ext_buyer_02,c2_drop_dana,2026-07-11,12500,intra
ext_buyer_10,c2_drop_dana,2026-07-12,36000,inter
ext_buyer_05,c2_drop_dana,2026-07-14,32000,inter
ext_buyer_11,c2_drop_dana,2026-07-15,17000,inter
ext_buyer_12,c2_drop_dana,2026-07-17,19500,inter
ext_buyer_01,c2_drop_dana,2026-07-18,18000,inter
ext_buyer_13,c2_drop_dana,2026-07-19,8000,intra
ext_buyer_06,c2_drop_dana,2026-07-21,15500,intra
ext_buyer_14,c2_drop_dana,2026-07-22,27000,inter
ext_buyer_03,c2_drop_dana,2026-07-24,25000,inter
ext_buyer_15,c2_drop_dana,2026-07-25,13000,inter
ext_buyer_10,c2_drop_dana,2026-07-26,36000,inter
ext_buyer_16,c2_drop_dana,2026-07-28,21500,inter
ext_buyer_09,c2_drop_dana,2026-07-30,22000,inter
ext_buyer_03,c2_drop_dana,2026-06-27,25000,inter
ext_buyer_05,c2_drop_dana,2026-08-01,32000,inter
c2_drop_dana,c2_kanat_brother,2026-06-28,47500,intra
c2_drop_dana,c2_kanat_brother,2026-07-02,51300,intra
c2_drop_dana,c2_kanat_brother,2026-07-05,68500,intra
c2_drop_dana,c2_kanat_brother,2026-07-10,60500,intra
c2_drop_dana,c2_kanat_brother,2026-07-12,45800,intra
c2_drop_dana,c2_kanat_brother,2026-07-15,62800,intra
c2_drop_dana,c2_kanat_brother,2026-07-19,57650,intra
c2_drop_dana,c2_kanat_brother,2026-07-22,39500,intra
c2_drop_dana,c2_kanat_brother,2026-07-25,58500,intra
c2_drop_dana,c2_kanat_brother,2026-07-28,21500,intra
c2_drop_dana,c2_kanat_brother,2026-08-02,54000,intra
ext_buyer_17,c2_drop_bekzat,2026-07-01,16000,inter
ext_buyer_18,c2_drop_bekzat,2026-07-02,24000,inter
ext_buyer_19,c2_drop_bekzat,2026-07-03,11000,intra
ext_buyer_20,c2_drop_bekzat,2026-07-05,30000,inter
ext_buyer_17,c2_drop_bekzat,2026-07-06,16000,inter
ext_buyer_21,c2_drop_bekzat,2026-07-08,3500,inter
ext_buyer_22,c2_drop_bekzat,2026-07-09,19000,inter
ext_buyer_18,c2_drop_bekzat,2026-07-11,24000,inter
ext_buyer_23,c2_drop_bekzat,2026-07-13,42000,inter
ext_buyer_24,c2_drop_bekzat,2026-07-14,14500,intra
ext_buyer_20,c2_drop_bekzat,2026-07-16,30000,inter
ext_buyer_25,c2_drop_bekzat,2026-07-18,8500,inter
ext_buyer_19,c2_drop_bekzat,2026-07-20,11000,intra
ext_buyer_26,c2_drop_bekzat,2026-07-23,27500,inter
ext_buyer_17,c2_drop_bekzat,2026-07-25,16000,inter
ext_buyer_27,c2_drop_bekzat,2026-07-27,20000,inter
ext_buyer_23,c2_drop_bekzat,2026-07-29,42000,inter
c2_drop_bekzat,c2_serik_coord,2026-07-03,47700,intra
c2_drop_bekzat,c2_serik_coord,2026-07-09,54850,intra
c2_drop_bekzat,c2_serik_coord,2026-07-14,72500,intra
c2_drop_bekzat,c2_serik_coord,2026-07-19,40600,intra
c2_drop_bekzat,c2_serik_coord,2026-07-24,34900,intra
c2_drop_bekzat,c2_serik_coord,2026-07-30,49000,intra
c2_drop_bekzat,c2_kur_nurzhan,2026-07-12,15000,intra
c2_drop_bekzat,c2_kur_nurzhan,2026-07-26,12500,intra
c2_drop_bekzat,x_p2p_trader_2,2026-07-21,18000,intra
ext_buyer_28,c2_kur_daulet,2026-07-02,20000,inter
ext_buyer_29,c2_kur_daulet,2026-07-06,15000,inter
ext_buyer_28,c2_kur_daulet,2026-07-13,20000,inter
ext_buyer_36,c2_kur_daulet,2026-07-21,11500,intra
ext_buyer_30,c2_kur_nurzhan,2026-07-04,26000,inter
ext_buyer_31,c2_kur_nurzhan,2026-07-10,12000,intra
ext_buyer_30,c2_kur_nurzhan,2026-07-18,26000,inter
ext_buyer_32,c2_kur_ernar,2026-07-07,9500,inter
ext_buyer_33,c2_kur_ernar,2026-07-16,17500,inter
ext_buyer_34,c2_kur_arman,2026-07-09,22000,inter
ext_buyer_35,c2_kur_arman,2026-07-21,13500,inter
ext_buyer_37,c2_kur_aibek,2026-07-04,28000,inter
ext_buyer_38,c2_kur_aibek,2026-07-17,19500,inter
ext_buyer_39,c2_kur_temirlan,2026-07-10,24500,inter
c2_kur_daulet,c2_serik_coord,2026-07-03,30700,intra
c2_kur_daulet,c2_serik_coord,2026-07-14,34500,intra
c2_kur_daulet,c2_serik_coord,2026-07-23,9000,intra
c2_kur_nurzhan,c2_serik_coord,2026-07-06,23800,intra
c2_kur_nurzhan,c2_serik_coord,2026-07-19,45650,intra
c2_kur_ernar,c2_kanat_brother,2026-07-08,8850,intra
c2_kur_ernar,c2_kanat_brother,2026-07-17,16500,intra
c2_kur_arman,c2_serik_coord,2026-07-10,21000,inter
c2_kur_arman,c2_serik_coord,2026-07-22,13000,inter
c2_kur_aibek,c2_serik_coord,2026-07-06,26500,intra
c2_kur_aibek,c2_serik_coord,2026-07-11,57900,intra
c2_kur_aibek,c2_serik_coord,2026-07-25,43600,intra
c2_kur_temirlan,c2_kanat_brother,2026-07-12,36400,intra
c2_kur_temirlan,c2_kanat_brother,2026-07-27,29500,intra
ext_drop_otherbank_1,c2_serik_coord,2026-07-03,640000,inter
ext_drop_otherbank_2,c2_serik_coord,2026-07-08,815500,inter
ext_drop_otherbank_1,c2_serik_coord,2026-07-12,702000,inter
ext_drop_otherbank_3,c2_serik_coord,2026-07-17,538000,inter
