gid,handle,functional_role,involvement,archetype,note
100000005146846100,c1_drop_beka,transit,criminal,карта-сборщик,"дроп-карта 1-12 июля (студент продал карту); гонит оператору и на резервную карту, держит ~7% себе"
100000001669994100,c1_zk_aliya,peripheral,criminal,закладчик,"получает оплату за клады, сдаёт на текущую дроп-карту, делит аренду с соседкой, помогает маме"
100000005101896100,c1_zk_dias,peripheral,criminal,закладчик,студент 19 лет; один раз отправил выручку на старую карту после смены
100000001956305100,c1_zk_erlan,peripheral,criminal,закладчик,закладчик и одновременно подрабатывает на мойке брата
100000006986524100,c1_zk_bekzat,peripheral,criminal,закладчик,"самый активный закладчик; содержит жену, ставки, внёс залог за машину"
100000008190531100,c1_zk_dana,peripheral,criminal,закладчик,"закладчица, пара с Санжаром; переводы туда-обратно"
100000002883937100,c1_zk_sanzhar,peripheral,criminal,закладчик,"закладчик, платит аренду за двоих, помогает отцу"
100000000455249100,c1_zk_arman,peripheral,criminal,закладчик,"платит штрафы куратору за ненаходы, одалживает другу"
100000003613617100,c1_zk_yerkebulan,peripheral,criminal,закладчик,выручку сдаёт наличными и через другой банк; внутри банка только мелочь - виден только как получатель
100000005067183100,c1_zk_madina,peripheral,criminal,закладчик,новенькая с середины июля; отправляет только мелкие суммы и в другой банк
100000004544723100,c1_zk_asel,peripheral,criminal,закладчик,начала 24 июля; первую зарплату и первую сдачу выручки успела только в августе
100000007040908100,c1_zk_timur,peripheral,criminal,закладчик,закладчик; ошибся номером карты и получил возврат; помогает маме
100000007496133100,c1_zk_nursultan,peripheral,criminal,закладчик,"сам покупает USDT у P2P-трейдера на свои деньги, выкупил цепочку из ломбарда"
100000001728081100,c1_zk_ruslan,consolidator,criminal,старший закладчик,"собирает выручку трёх младших закладчиков и одной суммой сдаёт на дроп-карту, оставляя себе процент"
100000003204589100,c1_zk_zhanibek,peripheral,criminal,закладчик,"закладчик, много ездит на такси"
100000008379845100,c2_drop_dana,transit,criminal,дроп-карта,на карту платят покупатели; почти всё в тот же или следующий день уходит Канату; себе оставляет небольшой процент
100000000083001100,c2_drop_bekzat,transit,criminal,дроп-студент,принимает оплату от покупателей и сдаёт Серику; делится с Нуржаном; свою долю меняет на USDT
100000004439294100,c2_kur_daulet,peripheral,criminal,закладчик,получает оплату за клады от Серика; изредка сам продаёт и сдаёт выручку; помогает двоюродному брату Мирасу
100000003787974100,c2_kur_nurzhan,peripheral,criminal,закладчик,получает от Серика и долю от Бекзата; платит за комнату и покупает USDT
100000003561874100,c2_kur_arman,peripheral,criminal,закладчик,получает оплату от Серика; сам пользуется другим банком и ставками поэтому исходящих внутри банка почти нет
100000004601251100,c2_kur_ernar,peripheral,criminal,закладчик-студент,получает от Серика; мелкую выручку сдаёт Канату; платит за курсы
100000003646921100,c2_kur_miras,peripheral,criminal,закладчик-новичок,получает от Серика и от двоюродного брата Даулета; тратит мелочью и через другой банк
100000001129746100,c3_klad_arman,peripheral,criminal,закладчик,принимает оплату от покупателей и раз в неделю сливает выручку на первый слой дроп-карт; зарплату получает с кассы
100000008089355100,c3_klad_madi,peripheral,criminal,закладчик,сдаёт выручку на дроп-карты первого слоя; бытовые траты и долг другу
100000007104500100,c3_klad_erlan,peripheral,criminal,закладчик,сдаёт выручку на дропов; сам снимает квартиру
100000002645767100,c3_kurier_timur,peripheral,criminal,курьер-перевозчик,возит опт; крупные сливы на дропов и один раз напрямую сборщику в обход слоёв
100000001379131100,c3_klad_sanzhar,peripheral,criminal,закладчик,мелкий закладчик; сливы небольшими суммами на дропов
100000005915544100,c3_klad_aibek,peripheral,criminal,закладчик-новичок,только получает зарплату с кассы; исходящие все ниже 5000 или межбанк
100000000457996100,c3_klad_nurlan,peripheral,criminal,закладчик,получает зарплату с кассы и отправляет матери в другой банк; в выгрузке только получатель
100000003968990100,c3_klad_dauren,peripheral,criminal,закладчик,получает зарплату с кассы; исходящие только мелкие
