rank,gid,role,priority_score,why,role_score,tier,role_stability,weak_seed_link,is_seed,depth,cluster_id,in_deg,out_deg,in_sum,out_sum,seed_money_in,seed_share,n_seed_links,in_cycle3,n_mutual
1,100000003115284100,consolidator,0.8416,"признаки консолидации: 8 плательщиков (из них seed: 2), получил 2.2 млн; отдал дальше 24%; до 7 плательщиков в день; связан с 2 seed; участвует в круговых потоках (3+ участника); доля seed-денег ~39%. Приоритет: верхние 10% по seed-деньгам (~850 тыс), крупный оборот (2.2 млн). Роль устойчива в 100% вариантов порогов. Кластер 16. Требует проверки.",0.778,B,1.0,False,False,1,16,8,2,2160500.0,517000.0,849633.5521629439,0.3932578348358916,2,True,1
2,100000004015047100,consolidator,0.7954,"признаки консолидации: 9 плательщиков (из них seed: 3), получил 919 тыс; отдал дальше 8%; связан с 3 seed; взаимные переводы с 1; доля seed-денег ~64%. Приоритет: верхние 10% по seed-деньгам (~585 тыс). Роль устойчива в 100% вариантов порогов. Кластер 14. Требует проверки.",0.746,B,1.0,False,False,1,14,9,1,919104.0,69195.0,585259.7112496869,0.6367720206306217,3,False,1
3,100000008165763100,coordinator,0.7849,"признаки координации: 15 плательщиков и 17 получателей; связан с 1 seed. Приоритет: верхние 10% по seed-деньгам (~189 тыс), синхронные поступления от нескольких плательщиков, крупный оборот (1.3 млн). Роль устойчива в 100% вариантов порогов. Кластер 3. Требует проверки.",0.761,B,1.0,False,False,1,3,15,17,1165815.0,1267858.0,188882.2348444699,0.14897743662497684,1,False,0
4,100000004070318100,distributor,0.7782,"веерная рассылка: 19 получателей, отправил 552 тыс; видимый вход 207 тыс, источник вне выгрузки; связан с 3 seed; участвует в круговых потоках (3+ участника). Приоритет: совокупность структурных признаков. Роль устойчива в 67% вариантов порогов. Кластер 2. Требует проверки.",0.59,B,0.6666666666666666,False,False,1,2,4,19,207246.55,551860.0,65291.96061361062,0.11831254414817277,3,True,2
5,100000008686313100,consolidator,0.7571,"признаки консолидации: 6 плательщиков (из них seed: 1), получил 1.9 млн; отдал дальше 17%; связан с 1 seed; участвует в круговых потоках (3+ участника). Приоритет: верхние 10% по seed-деньгам (~233 тыс), крупный оборот (1.9 млн). Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки.",0.598,B,1.0,False,False,1,2,6,7,1912716.0,333800.0,233150.3042781716,0.1218948888795679,1,True,3
6,100000008346837100,coordinator,0.7563,признаки координации: 9 плательщиков и 25 получателей; связан с 1 seed; участвует в круговых потоках (3+ участника). Приоритет: синхронные поступления от нескольких плательщиков. Роль устойчива в 100% вариантов порогов. Кластер 12. Требует проверки.,0.673,B,1.0,False,False,2,12,9,25,254359.0,1258643.0,13600.731826243045,0.01080586935790613,1,True,2
7,100000004707703100,transit,0.7503,"признаки транзита: получил 239 тыс, отправил 232 тыс (97%); 89% отправлено в течение 2 дней после входа; связан с 3 seed; доля seed-денег ~100%. Приоритет: верхние 10% по seed-деньгам (~239 тыс). Роль устойчива в 100% вариантов порогов. Кластер 4. Требует проверки.",0.841,B,1.0,False,False,1,4,2,5,239300.0,231650.0,239277.98501045106,0.9999080025509864,3,False,0
8,100000004135268100,transit,0.7455,"признаки транзита: получил 1.2 млн, отправил 1.0 млн (81%); 85% отправлено в течение 2 дней после входа; связан с 1 seed; участвует в круговых потоках (3+ участника); доля seed-денег ~98%. Приоритет: верхние 10% по seed-деньгам (~1.2 млн). Роль устойчива в 100% вариантов порогов. Кластер 62. Требует проверки.",0.807,B,1.0,False,False,1,62,2,3,1239000.0,1000200.0,1210778.8390889051,0.9772226304188096,1,True,2
9,100000008304139100,distributor,0.7451,"веерная рассылка: 24 получателя, отправил 1.7 млн; видимый вход 189 тыс, источник вне выгрузки; связан с 2 seed; участвует в круговых потоках (3+ участника). Приоритет: крупный оборот (1.7 млн). Роль устойчива в 67% вариантов порогов. Кластер 3. Требует проверки.",0.64,B,0.6666666666666666,False,False,1,3,4,24,189329.75,1692997.0,23934.19480355211,0.014137174964605436,2,True,1
10,100000004156082100,distributor,0.7418,"веерная рассылка: 26 получателей, отправил 2.3 млн; видимый вход 377 тыс, источник вне выгрузки; связан с 1 seed; участвует в круговых потоках (3+ участника). Приоритет: крупный оборот (2.3 млн). Роль устойчива в 100% вариантов порогов. Кластер 18. Требует проверки.",0.66,B,1.0,False,False,1,18,5,26,377366.11,2319556.0,64298.816485451,0.02772031220002923,1,True,1
11,100000004351795100,distributor,0.7331,"веерная рассылка: 14 получателей, отправил 1.7 млн; видимый вход 118 тыс, источник вне выгрузки; связан с 2 seed; участвует в круговых потоках (3+ участника). Приоритет: крупный оборот (1.7 млн). Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки.",0.54,B,1.0,False,False,1,2,3,14,118333.0,1715161.0,66872.00542080612,0.03898876281632227,2,True,1
12,100000003684369100,coordinator,0.7289,"[seed] признаки координации: 24 плательщика и 62 получателя; связан ещё с 1 seed; взаимные переводы с 1; доля seed-денег ~100%. Приоритет: верхние 10% по seed-деньгам (~500 тыс), синхронные поступления от нескольких плательщиков, крупный оборот (8.6 млн). Роль устойчива в 100% вариантов порогов. Кластер 3. Уже известен (seed). Требует проверки.",0.933,B,1.0,False,True,0,3,24,62,3848436.0,8588655.0,500392.2515996265,1.0,1,False,1
13,100000004299488100,consolidator,0.7269,"признаки консолидации: 6 плательщиков (из них seed: 1), получил 1.7 млн; отдал дальше 20%; до 3 плательщиков в день; связан с 1 seed; взаимные переводы с 1. Приоритет: верхние 10% по seed-деньгам (~417 тыс), крупный оборот (1.7 млн). Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки.",0.691,B,1.0,False,False,1,2,6,2,1749000.0,344999.0,416800.09060818824,0.238307656151051,1,False,1
14,100000008603629100,distributor,0.7235,"веерная рассылка: 61 получатель, отправил 5.0 млн; видимый вход 1.8 млн, источник вне выгрузки; участвует в круговых потоках (3+ участника); связь с seed-деньгами слабая, возможна легальная активность. Приоритет: синхронные поступления от нескольких плательщиков, крупный оборот (5.0 млн). Роль устойчива в 100% вариантов порогов. Кластер 6. Требует проверки.",0.75,B,1.0,True,False,2,6,19,61,1817300.0,4986156.0,33165.43513578832,0.006651503710631661,0,True,7
15,100000000331309100,distributor,0.719,"веерная рассылка: 99 получателей, отправил 23.0 млн; видимый вход 985 тыс, источник вне выгрузки; участвует в круговых потоках (3+ участника). Приоритет: синхронные поступления от нескольких плательщиков, крупный оборот (23.0 млн). Связь с seed не подтверждена: приоритет за счёт структуры, возможна легальная активность. Роль устойчива в 100% вариантов порогов. Кластер 5. Требует проверки.",0.75,B,1.0,True,False,2,5,5,99,984635.0,23001375.0,27494.970577315085,0.0011953620415003489,0,True,0
16,100000002838861100,consolidator,0.7074,"признаки консолидации: 5 плательщиков (из них seed: 2), получил 555 тыс; отдал дальше 2%; связан с 2 seed; взаимные переводы с 1; доля seed-денег ~73%. Приоритет: верхние 10% по seed-деньгам (~403 тыс). Роль устойчива в 67% вариантов порогов. Кластер 19. Требует проверки.",0.595,B,0.6666666666666666,False,False,1,19,5,1,554523.95,10000.0,403408.4221533861,0.727486021394362,2,False,1
17,100000004847758100,distributor,0.7032,"веерная рассылка: 15 получателей, отправил 489 тыс; видимый вход 115 тыс, источник вне выгрузки; связан с 2 seed; участвует в круговых потоках (3+ участника). Приоритет: совокупность структурных признаков. Роль устойчива в 67% вариантов порогов. Кластер 36. Требует проверки.",0.55,B,0.6666666666666666,False,False,1,36,4,15,115171.0,488800.0,19047.02142075994,0.03896690143363326,2,True,1
18,100000007055802100,consolidator,0.701,"признаки консолидации: 6 плательщиков (из них seed: 1), получил 2.0 млн; отдал дальше 30%; до 4 плательщиков в день; связан с 1 seed; взаимные переводы с 1. Приоритет: верхние 10% по seed-деньгам (~255 тыс), крупный оборот (2.0 млн). Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки.",0.66,B,1.0,False,False,1,2,6,1,2024999.0,605000.0,254676.85517649658,0.12576641034217625,1,False,1
19,100000007639767100,distributor,0.699,"веерная рассылка: 10 получателей, отправил 822 тыс; видимый вход 91 тыс, источник вне выгрузки; связан с 2 seed; участвует в круговых потоках (3+ участника). Приоритет: совокупность структурных признаков. Роль устойчива в 44% вариантов порогов. Кластер 38. Требует проверки.",0.5,B,0.4444444444444444,False,False,1,38,4,10,90913.0,822244.0,23508.732142169392,0.02859094398033843,2,True,3
20,100000001697501100,distributor,0.6975,"веерная рассылка: 38 получателей, отправил 1.5 млн; видимый вход 124 тыс, источник вне выгрузки; связан с 1 seed; взаимные переводы с 3. Приоритет: крупный оборот (1.5 млн). Роль устойчива в 100% вариантов порогов. Кластер 1. Требует проверки.",0.78,B,1.0,False,False,1,1,3,38,123700.0,1482606.0,25478.599475247956,0.017185010363675823,1,False,3
21,100000001530983100,distributor,0.6968,"веерная рассылка: 11 получателей, отправил 1.8 млн; видимый вход 564 тыс, источник вне выгрузки; связан с 2 seed. Приоритет: верхние 10% по seed-деньгам (~393 тыс), крупный оборот (1.8 млн). Роль устойчива в 44% вариантов порогов. Кластер 4. Требует проверки.",0.51,B,0.4444444444444444,False,False,1,4,4,11,564158.0,1829538.0,393442.95280920825,0.21505044049875338,2,False,0
22,100000004071080100,consolidator,0.6963,"признаки консолидации: 9 плательщиков (из них seed: 1), получил 239 тыс; отдал дальше 19%; связан с 1 seed; взаимные переводы с 1. Приоритет: верхние 10% по seed-деньгам (~71 тыс). Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки.",0.71,B,1.0,False,False,1,2,9,2,238600.0,46500.0,71355.08701830087,0.29905736386546883,1,False,1
23,100000006866783100,coordinator,0.6953,"[seed] признаки координации: 13 плательщиков и 67 получателей; участвует в круговых потоках (3+ участника); доля seed-денег ~100%. Приоритет: синхронные поступления от нескольких плательщиков, крупный оборот (3.9 млн). Роль устойчива в 100% вариантов порогов. Кластер 2. Уже известен (seed). Требует проверки.",0.86,B,1.0,False,True,0,2,13,67,838812.0,3948037.0,38421.92524504723,1.0,0,True,8
24,100000005339662100,transit,0.6921,"признаки транзита: получил 203 тыс, отправил 295 тыс; 77% отправлено в течение 2 дней после входа; связан с 2 seed; участвует в круговых потоках (3+ участника). Приоритет: совокупность структурных признаков. Роль устойчива в 100% вариантов порогов. Кластер 18. Роль — гипотеза по косвенным признакам. Требует проверки.",0.528,C,1.0,False,False,1,18,4,4,202939.0,295160.0,56496.9372864614,0.1914112253911824,2,True,2
25,100000003265158100,transit,0.6914,"признаки транзита: получил 146 тыс, отправил 154 тыс; 100% отправлено в течение 2 дней после входа; связан с 2 seed; доля seed-денег ~67%. Приоритет: верхние 10% по seed-деньгам (~103 тыс). Роль устойчива в 67% вариантов порогов. Кластер 10. Роль — гипотеза по косвенным признакам. Требует проверки.",0.8,C,0.6666666666666666,False,False,1,10,3,2,146100.4,154200.0,102678.97869851542,0.6658818333237058,2,False,0
26,100000000437046100,distributor,0.6884,"веерная рассылка: 42 получателя, отправил 7.6 млн; видимый вход 1.1 млн, источник вне выгрузки; участвует в круговых потоках (3+ участника); связь с seed-деньгами слабая, возможна легальная активность. Приоритет: синхронные поступления от нескольких плательщиков, крупный оборот (7.6 млн). Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки.",0.615,B,1.0,True,False,2,2,9,42,1107200.0,7606224.0,36889.8867167484,0.004849960600259524,0,True,3
27,100000008723830100,transit,0.6874,"признаки транзита: получил 460 тыс, отправил 455 тыс (99%); 100% отправлено в течение 2 дней после входа; связан с 1 seed; доля seed-денег ~99%. Приоритет: верхние 10% по seed-деньгам (~454 тыс). Роль устойчива в 100% вариантов порогов. Кластер 4. Требует проверки.",0.9,B,1.0,False,False,1,4,2,1,459785.0,455000.0,454092.9758401489,0.987620248246787,1,False,0
28,100000005910114100,distributor,0.686,"веерная рассылка: 19 получателей, отправил 1.5 млн; видимый вход 326 тыс, источник вне выгрузки; связан с 2 seed; участвует в круговых потоках (3+ участника). Приоритет: крупный оборот (1.5 млн). Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки.",0.59,B,1.0,False,False,3,2,3,19,326144.0,1469993.0,2783.0872618881804,0.001893265656291003,2,True,0
29,100000008477350100,distributor,0.6839,"веерная рассылка: 39 получателей, отправил 3.4 млн; видимый вход 610 тыс, источник вне выгрузки; участвует в круговых потоках (3+ участника). Приоритет: крупный оборот (3.4 млн). Связь с seed не подтверждена: приоритет за счёт структуры, возможна легальная активность. Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки.",0.592,B,1.0,True,False,2,2,11,39,610100.0,3374866.0,40938.536029013354,0.012130418223720098,0,True,1
30,100000004400305100,distributor,0.6838,"веерная рассылка: 82 получателя, отправил 5.8 млн; видимый вход 223 тыс, источник вне выгрузки; участвует в круговых потоках (3+ участника); связь с seed-деньгами слабая, возможна легальная активность. Приоритет: крупный оборот (5.8 млн). Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки.",0.75,B,1.0,True,False,2,2,7,82,222800.0,5830181.0,4934.913453764932,0.0008464425810733717,0,True,2
31,100000003016635100,coordinator,0.6813,"[seed] признаки координации: 8 плательщиков и 73 получателя; участвует в круговых потоках (3+ участника); доля seed-денег ~100%. Приоритет: верхние 10% по seed-деньгам (~106 тыс), синхронные поступления от нескольких плательщиков, крупный оборот (9.4 млн). Роль устойчива в 100% вариантов порогов. Кластер 4. Уже известен (seed). Требует проверки.",0.76,B,1.0,False,True,0,4,8,73,586981.0,9414081.0,106066.21256168254,1.0,0,True,6
32,100000008560717100,consolidator,0.6786,"признаки консолидации: 7 плательщиков (из них seed: 1), получил 529 тыс; отдал дальше 5%; связан с 1 seed. Приоритет: совокупность структурных признаков. Роль устойчива в 100% вариантов порогов. Кластер 5. Требует проверки.",0.686,B,1.0,False,False,1,5,7,1,529000.0,25000.0,46319.338262577294,0.08756018575156388,1,False,0
