gid,role,role_score,priority_score,tier,weak_seed_link,cluster_id,c_role,c_seed_money,c_in_deg,c_out_deg,c_volume,c_seed_links,c_cycle3,evidence,role_stability,depth,is_seed,out_sum,out_tx,out_deg,in_sum,in_tx,in_deg,n_counterparties,volume_dedup,total_volume,net_flow,pass_ratio,n_seed_links,in_from_seed_sum,in_from_seed_deg,flag_out_gt_in,inflow_reliable,flag_truncated,no_edges,component,seed_share,seed_money_in,in_cycle,in_cycle3,n_mutual,fast_share,max_payers_day,late_last_in
100000000011452100,peripheral,0.6,0.4587,B,False,2,0.06,0.9096573208722741,0.9114374721851357,0.6915887850467289,0.621272808188696,0.3333333333333333,0.0,"выраженных признаков нет: 3 вх./1 исх., оборот 110 тыс; связан с 1 seed; взаимные переводы с 1",1.0,1,False,16685.0,2,1,110000.0,7,3,3,110000.0,126685.0,93315.0,0.1516818181818182,1,75000.0,1,False,True,False,False,0,0.6916896554574301,76085.86210031732,True,False,1,1.0,1,False
100000000018102100,peripheral,0.3,0.0649,A,True,64,0.03,0.2398753894080997,0.018691588785046728,0.0,0.045838896306186025,0.0,0.0,"обрыв выгрузки на последнем колене: получил 7 тыс от 1 плательщика, исходящие неизвестны",1.0,4,False,0.0,0,0,7000.0,1,1,1,7000.0,7000.0,7000.0,0.0,0,0.0,0,False,True,True,False,0,0.01067726850094838,74.74087950663866,False,False,0,,1,False
100000000031787100,peripheral,0.6,0.3369,B,False,9,0.06,0.8691588785046729,0.018691588785046728,0.833555852247441,0.5687583444592791,0.0,0.0,"выраженных признаков нет: 1 вх./2 исх., оборот 90 тыс; взаимные переводы с 1",0.6666666666666666,2,False,90000.0,4,2,90000.0,2,1,2,90000.0,180000.0,0.0,1.0,0,0.0,0,False,True,False,False,0,0.5405405405405406,48648.648648648654,True,False,1,0.4444444444444444,1,False
100000000041368100,terminal,0.72,0.4201,B,False,3,0.36,0.9514908767245216,0.018691588785046728,0.0,0.6862483311081442,0.3333333333333333,0.0,"конечная точка в пределах выгрузки: получил 160 тыс от 1 плательщика, исходящих нет; доля seed-денег ~100%; связан с 1 seed",1.0,1,False,0.0,0,0,160000.0,1,1,1,160000.0,160000.0,160000.0,0.0,1,160000.0,1,False,True,False,False,0,1.0,160000.0,False,False,0,,1,False
100000000076451100,peripheral,0.6,0.3744,B,True,18,0.06,0.5651980418335558,0.9114374721851357,0.9274588340008901,0.5647530040053405,0.0,0.0,"выраженных признаков нет: 3 вх./4 исх., оборот 88 тыс; взаимные переводы с 2",1.0,2,False,58000.0,4,4,87707.0,4,3,5,87707.0,145707.0,29707.0,0.661292713238396,0,0.0,0,False,True,False,False,0,0.022460989491465043,1969.9860053279247,True,False,2,0.25862068965517243,2,True
100000000089154100,distributor,0.55,0.5934,B,False,36,0.44000000000000006,0.6880284824210058,0.018691588785046728,0.9813084112149533,0.851357365376057,0.6666666666666666,1.0,"веерная рассылка: 15 получателей, отправил 426 тыс; видимый вход 10 тыс, источник вне выгрузки; связан с 2 seed; участвует в круговых потоках (3+ участника)",1.0,1,False,425500.0,21,15,10000.0,1,1,15,425500.0,435500.0,-415500.0,42.55,2,10000.0,1,True,False,False,False,0,0.023501762632197415,10000.0,True,True,1,0.27379553466509987,1,False
100000000190228100,peripheral,0.9,0.2494,B,True,19,0.09000000000000001,0.5785491766800178,0.018691588785046728,0.6915887850467289,0.3119715175789942,0.0,0.0,"выраженных признаков нет: 1 вх./1 исх., оборот 29 тыс",1.0,2,False,28560.0,1,1,5000.0,1,1,2,28560.0,33560.0,-23560.0,5.712,0,0.0,0,True,False,False,False,0,0.08371303900413762,2390.8443939581707,False,False,0,0.0,1,True
100000000201868100,transit,0.865,0.5381,B,False,65,0.6054999999999999,0.9176680017801513,0.018691588785046728,0.6915887850467289,0.7160658655985759,0.0,0.0,"признаки транзита: получил 190 тыс, отправил 190 тыс (100%); 100% отправлено в течение 2 дней после входа; взаимные переводы с 1; доля seed-денег ~47%",1.0,2,False,190000.0,1,1,190000.0,1,1,1,190000.0,380000.0,0.0,1.0,0,0.0,0,False,True,False,False,0,0.47322170741506375,89912.12442314925,True,False,1,1.0,1,False
100000000254336100,peripheral,0.6,0.2979,B,True,2,0.06,0.3426791277258567,0.8019581664441477,0.6915887850467289,0.5896751223854028,0.0,0.0,"выраженных признаков нет: 2 вх./1 исх., оборот 97 тыс",1.0,3,False,60000.0,1,1,97177.0,2,2,3,97177.0,157177.0,37177.0,0.6174300503205491,0,0.0,0,False,True,False,False,0,0.0019830598735533487,192.70780933229378,False,False,0,1.0,1,False
100000000267734100,peripheral,0.6,0.4997,B,False,9,0.06,0.9506008010680908,0.8019581664441477,0.960836671117045,0.789942145082332,0.3333333333333333,0.0,"выраженных признаков нет: 2 вх./7 исх., оборот 282 тыс; связан с 1 seed; взаимные переводы с 1",1.0,1,False,282000.0,8,7,180000.0,4,2,8,282000.0,462000.0,-102000.0,1.5666666666666667,1,120000.0,1,True,False,False,False,0,0.5405405405405406,152432.43243243243,True,False,1,0.4148936170212766,1,True
