block,check,value,status,meaning
A,"A1 воспроизводимость: консенсус с другой случайностью, ARI",0.986,OK,
A,"A2 порог согласия «порог 0.7», ARI к базе",0.951,OK,
A,"A2 порог согласия «порог 0.9», ARI к базе",0.995,OK,
A,"A2 методика «вес log(сумма)», ARI к базе",0.466,INFO,осознанный выбор методики (описан в README): границы кластеров от него зависят
A,"A2 методика «без весов», ARI к базе",0.426,INFO,осознанный выбор методики (описан в README): границы кластеров от него зависят
A,"A2 методика «resolution 0.5», ARI к базе",0.71,INFO,осознанный выбор методики (описан в README): границы кластеров от него зависят
A,"A2 методика «resolution 2.0», ARI к базе",0.669,INFO,осознанный выбор методики (описан в README): границы кластеров от него зависят
A,A2 кластеров с >1 seed во всех вариантах (ориентир ТЗ ≈ 8),8–9,OK,число «многосидовых» групп устойчиво к методике
A,A3 кластеров ≥5 узлов с устойчивостью < 0.6,2 из 63,OK,"у них в гипотезе стоит пометка «границы неустойчивы», сила гипотезы понижена"
A,A3 средняя устойчивость кластеров с «сильной» гипотезой,0.9,OK,
A,A4 модулярность: консенсус vs одиночный Louvain,0.857 vs 0.861,OK,
A,A4 доля оборота внутри кластеров,90%,OK,
A,"A4 кластеров ≥5 узлов, где внешний оборот больше внутреннего",3,OK,
A,"A5 кластеров, объединяющих разные компоненты",0,OK,должно быть 0: между компонентами нет переводов
A,A6 доля узлов в крупнейшем кластере,12%,OK,
A,A6 кластеров-одиночек (1 узел с переводами),0,OK,
B,B1 худший случай при изменении одного веса на ±50%: Jaccard топ-20,0.67 (seed_links ×0.5),OK,
B,B1 главный «рычаг» приоритета (если убрать компонент целиком),role: Jaccard 0.33,INFO,
B,B2 устойчивое ядро: в топ-20 при ≥90% случайных весов,9,INFO,
B,"B2 узлов топ-50, выпадающих из него в >50% наборов весов",6,OK,
B,B3 иерархия ролей «все активные роли равны»: Jaccard топ-20,0.60,OK,
B,B3 иерархия ролей «консолидатор = координатор»: Jaccard топ-20,0.82,OK,
B,B3 иерархия ролей «роль не влияет на приоритет»: Jaccard топ-20,0.43,OK,порядок топа зависит от иерархии ролей — обоснование в README (role_w)
B,B4 модель seed-денег «агрессивная (знаменатель = видимый вход)»: Jaccard топ-20 / смена ролей,0.43 / 3,WARN,"топ зависит от модели смешивания — это гипотеза (seed_denom), описана в README"
B,B4 модель seed-денег «только прямые переводы от seed»: Jaccard топ-20 / смена ролей,0.74 / 0,OK,
B,B5 seed_factor=1.0: seed в топ-50 (сейчас 8),10,INFO,
B,B5 seed_factor=0.5: seed в топ-50 (сейчас 8),0,INFO,
B,"B6 узлов топа, выпадающих при исключении одного seed (из 62)",2,OK,
B,B7 средний priority по коленам,"{0: 0.244, 1: 0.383, 2: 0.297, 3: 0.208, 4: 0.099}",INFO,
B,B7 максимум узлов из одного кластера в топ-50,13,OK,
B,B7 обрезанных / без переводов в топ-50,0 / 0,OK,
B,B7 «слабая связь с seed» в топ-50,9,OK,"в why таких узлов прямо написано, что приоритет за счёт структуры"
B,B8 пар компонент приоритета с корреляцией > 0.8,0,OK,
B,B8 разрыв priority между местами 50 и 51,0.0002,OK,
D,D1 параметров без описания в реестре,0,OK,
D,D1 параметров без проверки чувствительности,0,OK,
D,D2 допущений по типам,"{'порог': 13, 'методика': 10, 'гипотеза': 8, 'продукт': 4}",INFO,
D,D3 параметров с высокая чувствительностью,3,INFO,
D,D3 параметров с средняя чувствительностью,3,INFO,
D,D3 параметров с низкая чувствительностью,14,INFO,
D,"D4 гипотез, от которых результат зависит сильно",['seed_denom'],WARN,результат держится на непроверяемом предположении — вынести в README как ограничение
D,D4 порогов с высокой чувствительностью,['min_sum'],INFO,для них в README нужно обоснование значения (ориентир ТЗ / плато)
E,"E1 шум сумм ±5%: совпадение ролей (все / активные), Jaccard топ-20 — худший из 3",0.993 / 0.965 / 0.90,OK,
E,"E1 шум сумм ±10%: совпадение ролей (все / активные), Jaccard топ-20 — худший из 3",0.992 / 0.972 / 0.90,OK,
E,"E1 выпало 5% связей: совпадение ролей (все / активные), Jaccard топ-20 — худший из 3",0.979 / 0.913 / 0.74,OK,
T,T1 доля уникальных гипотез среди кластеров ≥5 узлов,100%,OK,
T,T1 доля кластеров ≥5 узлов со «слабой» гипотезой (периферия/фрагмент),35%,OK,
T,T1 типы гипотез,"{'periphery': 22, 'fan_out': 18, 'fragment': 16, 'transit_chain': 14, 'seed_periphery': 8, 'collection': 6, 'core': 5, 'no_data': 1}",INFO,
T,T1 сила гипотез,"{'слабая': 68, 'умеренная': 15, 'сильная': 6, 'нет данных': 1}",INFO,
T,"T1 гипотез с конкретными фактами (числа, gid)",100%,OK,
T,"T2 утверждений в гипотезах, не подтверждённых данными",0,OK,
T,T3 доля уникальных evidence у узлов с активной ролью,94%,OK,
T,T3 доля самой частой формулировки «Приоритет: …» в топе,22%,OK,
T,T3 доля why без конкретной причины приоритета,22%,WARN,
T,T4 расхождений evidence с данными (по всем узлам),0,OK,
C,"C1 gid, зашитые в код",0,OK,
C,"C2 время полного пересчёта, с (лимит ТЗ 300)",18.35,OK,
C,C3 все проверки схемы выгрузок,True,OK,
C,"C4 повторный расчёт даёт те же роли, кластеры и приоритеты",True,OK,
C,C5 перемешанные строки входа дают побайтно те же CSV,True,OK,
