param,value,kind,why
cons_min_in,5,порог,консолидатор: от 5 разных плательщиков — «несколько участников» из определения ТЗ
cons_strong_in,8,порог,от 8 плательщиков консолидация выраженная (ориентир ТЗ: 8–24); на 8 плато чувствительности
cons_max_pass,0.5,порог,консолидатор удерживает: отдаёт дальше не больше половины видимого входа
dist_min_out,10,порог,"распределитель: от 10 получателей (сильные кандидаты ТЗ — 60–116, 10 — середина плато)"
band,"[0.8, 1.2]",порог,транзит: отдал 80–120% полученного — ориентир ТЗ «коэффициент пропуска 0.8–1.2»
min_sum,100000,порог,100 тыс. KZT — существенная сумма для транзита и терминала (20× порога выгрузки)
coord_min_in,5,порог,координатор собирает: от 5 плательщиков
coord_min_out,10,порог,координатор раздаёт: от 10 получателей
coord_strong_in,8,порог,координатор: либо 8+ плательщиков (как у сильного консолидатора)…
coord_min_seed_links,2,порог,…либо прямая связь с 2+ seed — связующее звено между известными участниками
fast_days,2,гипотеза,«сквозной транзит» — ушло в течение 2 дней после входа (ТЗ: 1–2 дня); время внутри дня неизвестно
fast_min,0.7,гипотеза,транзит по скорости (только где баланс не виден): 70%+ исходящих ушло быстро
late_days,3,гипотеза,вход в последние 3 дня периода — деньги могли уйти дальше уже после выгрузки
sync_min_payers,3,порог,синхронный сбор: 3+ разных плательщика в один день
weak_seed_share,0.1,гипотеза,"связь с seed слабая, если seed-денег < 10% и нет прямых связей с seed — возможна легальная активность"
term_seed_share,0.2,гипотеза,терминал уверенный при доле seed-денег от 20%
weak_penalty,0.75,гипотеза,при слабой связи с seed уверенность в роли × 0.75 (роль не меняется)
role_w,"{""coordinator"": 1.0, ""consolidator"": 0.9, ""distributor"": 0.8, ""transit"": 0.7, ""terminal"": 0.5, ""peripheral"": 0.1}",продукт,"иерархия ролей для приоритета: ближе к управлению деньгами — выше; консолидатор почти равен координатору, т.к. ТЗ ставит фокус на точки консолидации"
prio_w,"{""role"": 0.35, ""seed_money"": 0.2, ""in_deg"": 0.1, ""out_deg"": 0.1, ""volume"": 0.1, ""seed_links"": 0.1, ""cycle3"": 0.05}",продукт,"приоритет = по одной метрике от каждой семьи признаков, чтобы не учитывать одно и то же дважды"
seed_factor,0.85,продукт,"seed уже известны правоохранителям — приоритет × 0.85, фокус на новых узлах"
seed_denom,"""max""",гипотеза,модель смешивания: невидимый вход считается «чистым» (осторожная оценка доли seed-денег)
cl_runs,30,методика,консенсус 30 запусков Louvain убирает случайность разбиения
cl_thr,0.8,методика,"два узла в одном кластере, если вместе минимум в 80% запусков"
cl_attach,0.5,методика,"узел без ядра присоединяется к соседу, с которым вместе в 50%+ запусков"
cl_seed0,0,методика,фиксированная случайность — воспроизводимость
cl_weight,"""w""",гипотеза,"кластер — группа, между которой ходят крупные суммы (вес = сумма), а не много мелких связей"
cl_resolution,1.0,методика,стандартный масштаб модулярности (1.0)
cl_stability,true,методика,"устойчивость каждого кластера: другая случайность, порог согласия 0.7/0.9, resolution 0.5/2"
cl_stable_min,0.6,порог,"кластер с устойчивостью ниже 0.6 помечается, сила его гипотезы понижается"
max_cycle_len,5,методика,круги длиной до 5 шагов — глубина обхода 4 колена
top_n,50,продукт,"топ-50: ТЗ требует ≥ 20, 50 — рабочий объём проверки для аналитика"
back_flow_share,0.4,порог,кластер с возвратными потоками: 40%+ внутреннего оборота идёт назад/вбок по коленам
stability_grid,"{""cons_min_in"": [4, 5, 6], ""dist_min_out"": [8, 10, 12], ""min_sum"": [75000, 100000, 150000]}",методика,устойчивость роли: пороги сдвигаются на ±1 шаг
resilience_k,"[5, 10, 20, 50]",методика,сколько узлов изымаем при оценке устойчивости сети
resilience_random,20,методика,число случайных изъятий для сравнения
