gid,handle,functional_role,involvement,archetype,note
100000000159882100,p06270,transit,criminal,дроп-карта,ячейка 0: принимает оплату и пересылает сборщику
100000004021046100,p02180,peripheral,criminal,закладчик,ячейка 0: делает клады и получает оплату
100000001009154100,p02906,peripheral,criminal,закладчик,ячейка 0: делает клады и получает оплату
100000007254292100,p05567,peripheral,criminal,закладчик,ячейка 0: делает клады и получает оплату
100000003830768100,p07819,peripheral,criminal,закладчик,ячейка 0: делает клады и получает оплату
100000005420134100,p00882,transit,criminal,курьер-приёмщик,ячейка 0: берёт оплату от покупателей и сдаёт выше
100000001595093100,p07052,transit,criminal,курьер-приёмщик,ячейка 0: берёт оплату от покупателей и сдаёт выше
100000003899308100,p01852,peripheral,criminal,закладчик,ячейка 1: делает клады и получает оплату
100000002168316100,p03567,transit,criminal,курьер-приёмщик,ячейка 1: берёт оплату от покупателей и сдаёт выше
100000008890789100,p07764,transit,criminal,курьер-приёмщик,ячейка 1: берёт оплату от покупателей и сдаёт выше
100000004187910100,p00772,transit,criminal,курьер-приёмщик,ячейка 1: берёт оплату от покупателей и сдаёт выше
100000005860218100,p01215,peripheral,criminal,закладчик,ячейка 1: делает клады и получает оплату
100000008957745100,p03257,transit,criminal,курьер-приёмщик,ячейка 1: берёт оплату от покупателей и сдаёт выше
100000003857940100,p01731,transit,criminal,курьер-приёмщик,ячейка 1: берёт оплату от покупателей и сдаёт выше
100000007234551100,p01981,transit,criminal,курьер-приёмщик,ячейка 1: берёт оплату от покупателей и сдаёт выше
100000001162955100,p06508,transit,criminal,курьер-приёмщик,ячейка 1: берёт оплату от покупателей и сдаёт выше
100000002672906100,p07701,peripheral,criminal,закладчик,ячейка 1: делает клады и получает оплату
100000001105900100,p02150,transit,criminal,курьер-приёмщик,ячейка 1: берёт оплату от покупателей и сдаёт выше
100000001729488100,p00792,peripheral,criminal,закладчик,ячейка 2: делает клады и получает оплату
100000004122964100,p05220,peripheral,criminal,закладчик,ячейка 2: делает клады и получает оплату
100000003858280100,p01930,peripheral,criminal,закладчик,ячейка 2: делает клады и получает оплату
100000007942656100,p07342,peripheral,criminal,закладчик,ячейка 2: делает клады и получает оплату
100000005036811100,p09122,peripheral,criminal,закладчик,ячейка 2: делает клады и получает оплату
100000003990347100,p01625,peripheral,criminal,закладчик,ячейка 2: делает клады и получает оплату
100000002872080100,p04835,peripheral,criminal,закладчик,ячейка 2: делает клады и получает оплату
100000003263644100,p08608,peripheral,criminal,закладчик,ячейка 3: делает клады и получает оплату
100000008817401100,p03679,peripheral,criminal,закладчик,ячейка 3: делает клады и получает оплату
100000006354803100,p07661,peripheral,criminal,закладчик,ячейка 3: делает клады и получает оплату
100000003179663100,p07588,peripheral,criminal,закладчик,ячейка 3: делает клады и получает оплату
100000005135150100,p09136,peripheral,criminal,закладчик,ячейка 3: делает клады и получает оплату
100000006846774100,p05057,peripheral,criminal,закладчик,ячейка 3: делает клады и получает оплату
100000006653096100,p05399,transit,criminal,курьер-приёмщик,ячейка 3: берёт оплату от покупателей и сдаёт выше
100000003305078100,p04678,peripheral,criminal,закладчик,ячейка 3: делает клады и получает оплату
100000008460984100,p02666,transit,criminal,курьер-приёмщик,ячейка 4: берёт оплату от покупателей и сдаёт выше
